City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
arraial do cabo,3,BR,1603765280,88,-22.97,-42.03,72.07,11.25
qaanaaq,99,GL,1603765299,77,77.48,-69.36,8.76,8.99
siderno,5,IT,1603765383,93,38.28,16.3,60.8,3.36
nikolskoye,75,RU,1603765296,87,59.7,30.79,50.0,8.95
saint anthony,1,US,1603765329,62,45.02,-93.22,24.8,3.36
karratha,0,AU,1603765287,30,-20.74,116.85,86.41,6.82
port elizabeth,90,ZA,1603765384,93,-33.92,25.57,64.4,16.11
atuona,73,PF,1603765385,74,-9.8,-139.03,79.03,20.18
marsaxlokk,40,MT,1603765385,77,35.84,14.54,70.0,6.93
borgo san dalmazzo,97,IT,1603765385,93,44.33,7.49,48.2,6.93
rikitea,100,PF,1603765306,86,-23.12,-134.97,75.38,14.34
port macquarie,83,AU,1603765093,52,-31.43,152.92,77.0,4.0
almas,0,RO,1603765386,86,46.28,22.23,49.87,4.36
hilo,90,US,1603765255,88,19.73,-155.09,75.99,12.75
kodiak,1,US,1603765299,46,57.79,-152.41,50.0,24.16
kamaishi,20,JP,1603765324,66,39.27,141.88,55.4,3.36
baependi,45,BR,1603765386,89,-21.96,-44.89,63.09,2.62
chuy,94,UY,1603765387,80,-33.7,-53.46,56.28,11.18
kloulklubed,75,PW,1603765323,88,7.04,134.26,78.8,5.82
galveston,1,US,1603765190,78,29.37,-94.97,75.99,12.75
vila franca do campo,75,PT,1603765292,88,37.72,-25.43,68.0,16.11
albany,100,US,1603765354,89,42.6,-73.97,51.01,1.5
lasa,75,IT,1603765388,86,46.62,10.7,45.0,10.29
banda aceh,0,ID,1603765309,64,5.56,95.32,84.56,12.03
ozinki,0,RU,1603765388,95,51.18,49.68,30.58,8.72
east london,66,ZA,1603765312,84,-33.02,27.91,67.32,17.31
hami,100,CN,1603765389,46,42.8,93.45,46.69,4.16
poplar bluff,90,US,1603765389,87,36.76,-90.39,44.01,9.17
puerto ayora,51,EC,1603765389,92,-0.74,-90.35,68.0,1.01
jamestown,90,US,1603765239,100,42.1,-79.24,44.01,2.75
hatton,26,LK,1603765390,90,6.89,80.6,67.15,0.36
vila velha,0,BR,1603765390,83,-20.33,-40.29,72.0,2.24
gaya,0,IN,1603765390,87,24.78,85.0,60.8,5.59
astana,75,KZ,1603765390,93,51.18,71.45,35.6,20.13
kaitangata,19,NZ,1603765296,69,-46.28,169.85,53.01,13.0
kavieng,22,PG,1603765391,60,-2.57,150.8,85.69,4.56
broken hill,90,AU,1603765391,67,-31.95,141.43,59.0,9.17
yellowknife,90,CA,1603765216,79,62.46,-114.35,23.0,12.75
mar del plata,0,AR,1603765343,81,-38.0,-57.56,55.99,3.36
bredasdorp,33,ZA,1603765304,88,-34.53,20.04,64.4,3.36
melnikovo,100,RU,1603765392,95,56.56,84.08,41.0,9.71
pacific grove,1,US,1603765208,38,36.62,-121.92,59.0,3.36
bonavista,17,CA,1603765392,70,48.65,-53.11,37.99,3.0
saint-leu,90,RE,1603765392,78,-21.15,55.28,71.6,4.7
hay river,90,CA,1603765393,100,60.82,-115.8,24.8,10.29
moussoro,0,TD,1603765393,23,13.64,16.49,78.55,10.2
inhambane,27,MZ,1603765393,88,-23.86,35.38,72.7,5.28
elizabeth city,0,US,1603765393,99,36.29,-76.25,61.0,4.09
atlantis,0,ZA,1603765393,96,-33.57,18.48,60.01,5.35
umba,100,RU,1603765394,95,66.69,34.34,40.95,9.37
hinton,99,CA,1603765394,82,53.4,-117.59,35.71,13.0
kungurtug,64,RU,1603765394,79,50.6,97.52,27.66,1.83
tura,84,IN,1603765317,83,25.52,90.22,75.43,1.92
bhainsdehi,0,IN,1603765394,59,21.65,77.63,68.23,0.27
kilrush,75,IE,1603765395,93,52.64,-9.48,48.99,12.75
katherine,15,AU,1603765395,43,-14.47,132.27,89.6,5.82
lewistown,90,US,1603765395,100,40.6,-77.57,53.01,2.89
chapleau,75,CA,1603765395,92,47.84,-83.4,23.0,3.36
saint-augustin,100,CA,1603765395,82,51.23,-58.65,32.94,10.67
longyearbyen,75,SJ,1603765396,86,78.22,15.64,26.6,6.93
narsaq,97,GL,1603765396,43,60.92,-46.05,35.6,1.12
saint-pierre,90,RE,1603765396,78,-21.34,55.48,71.6,4.7
paamiut,2,GL,1603765396,89,61.99,-49.67,31.3,24.96
panalingaan,100,PH,1603765396,84,8.78,117.42,80.4,16.89
necochea,0,AR,1603765182,87,-38.55,-58.74,51.01,8.99
chokurdakh,100,RU,1603765397,95,70.63,147.92,6.58,10.11
barstow,1,US,1603765339,5,34.9,-117.02,57.2,14.99
los llanos de aridane,20,ES,1603765397,60,28.66,-17.92,69.8,9.17
tuktoyaktuk,20,CA,1603765397,78,69.45,-133.04,10.4,14.99
clyde river,0,CA,1603765398,86,70.47,-68.59,9.72,3.94
sakakah,0,SA,1603765398,12,29.97,40.21,68.0,4.7
darlowo,100,PL,1603765398,97,54.42,16.41,48.99,11.68
high rock,17,BS,1603765398,78,26.62,-78.28,81.95,6.91
te anau,2,NZ,1603765307,50,-45.42,167.72,59.04,7.31
kimbe,44,PG,1603765399,72,-5.55,150.14,85.12,5.64
srednekolymsk,0,RU,1603765309,91,67.45,153.68,11.17,5.55
bissau,0,GW,1603765399,86,11.86,-15.6,78.71,7.74
hermanus,0,ZA,1603765238,85,-34.42,19.23,62.01,4.0
kieta,77,PG,1603765400,63,-6.22,155.63,86.02,5.53
portland,0,US,1603764928,64,45.52,-122.68,46.99,1.43
severo-kurilsk,99,RU,1603765400,81,50.68,156.12,45.05,4.52
talnakh,40,RU,1603765400,84,69.49,88.4,3.2,6.71
tutoia,39,BR,1603765327,81,-2.76,-42.27,80.28,13.04
beloha,0,MG,1603765295,93,-25.17,45.05,63.68,1.99
kapaa,90,US,1603765264,88,22.08,-159.32,71.6,11.41
tasiilaq,100,GL,1603765254,50,65.61,-37.64,33.8,19.46
tres de maio,52,BR,1603765401,92,-27.77,-54.24,64.99,6.24
thompson,5,CA,1603765282,57,55.74,-97.86,23.0,8.05
bethel,90,US,1603765264,100,41.37,-73.41,54.0,0.6
ilulissat,100,GL,1603765286,73,69.22,-51.1,19.4,6.93
luanda,75,AO,1603765203,83,-8.84,13.23,77.0,5.82
orocue,96,CO,1603765402,91,4.79,-71.34,77.22,5.32
hasaki,75,JP,1603765306,72,35.73,140.83,66.99,9.17
mahebourg,40,MU,1603765307,78,-20.41,57.7,71.6,6.93
saskylakh,92,RU,1603765403,92,71.92,114.08,-0.29,5.61
sorland,2,NO,1603765403,72,67.67,12.69,48.52,20.98
san cristobal,19,VE,1603765403,90,7.77,-72.22,67.28,2.01
hithadhoo,69,MV,1603765297,64,-0.6,73.08,83.43,6.67
inzer,100,RU,1603765404,93,54.22,57.56,26.91,13.44
bandarbeyla,38,SO,1603765404,78,9.49,50.81,73.6,8.68
bondo,99,CD,1603765404,94,3.81,23.69,68.41,1.43
monterey,1,US,1603765404,42,36.25,-121.25,62.6,6.93
eenhana,46,NA,1603765405,28,-17.47,16.33,80.6,3.36
harrison,1,US,1603765405,88,30.41,-89.04,71.6,5.28
deqing,80,CN,1603765405,75,30.54,119.96,70.0,1.01
barrow,90,US,1603765405,85,71.29,-156.79,19.4,11.41
dukat,100,RU,1603765405,96,62.55,155.55,15.22,7.31
sisimiut,36,GL,1603765406,91,66.94,-53.67,19.89,9.28
kysyl-syr,97,RU,1603765321,92,63.9,122.76,10.54,5.79
vao,20,NC,1603765406,81,-22.67,167.48,73.38,20.18
port hardy,90,CA,1603765306,100,50.7,-127.42,44.6,2.24
leningradskiy,100,RU,1603765320,94,69.38,178.42,26.17,16.75
herat,0,AF,1603765407,28,34.5,62.0,46.4,7.27
castro,100,BR,1603765407,92,-24.79,-50.01,61.9,3.33
saint george,1,US,1603765407,12,37.1,-113.58,44.6,23.04
pevek,95,RU,1603765247,93,69.7,170.31,21.45,20.27
zhigansk,100,RU,1603765278,92,66.77,123.37,1.8,11.9
cancun,90,MX,1603765229,100,21.17,-86.85,80.6,42.5
bedele,0,ET,1603765408,97,8.46,36.35,49.39,1.68
avera,40,US,1603765408,90,33.19,-82.53,64.4,3.85
tumbi,100,TZ,1603765408,61,-5.07,32.73,71.1,3.02
yomou,67,GN,1603765409,83,7.56,-9.27,69.82,0.72
agua dulce,75,MX,1603765178,74,18.13,-94.13,82.4,8.05
dikson,78,RU,1603765296,95,73.51,80.55,10.47,17.29
ca mau,96,VN,1603765409,72,9.18,105.15,83.88,6.91
belen,0,TR,1603765409,44,36.49,36.22,59.0,1.12
changji,0,CN,1603765410,55,44.02,87.32,39.2,2.24
maningrida,75,AU,1603765410,54,-12.07,134.27,87.76,6.49
cabo san lucas,20,MX,1603765292,69,22.89,-109.91,81.0,11.41
bolgatanga,98,GH,1603765410,34,10.79,-0.85,78.19,2.26
nazira,40,IN,1603765410,78,26.92,94.73,80.6,5.82
buraydah,0,SA,1603765411,38,26.33,43.98,59.0,3.36
sao filipe,98,CV,1603765302,80,14.9,-24.5,79.59,9.86
isangel,75,VU,1603765411,54,-19.55,169.27,84.2,9.17
provideniya,90,RU,1603765412,69,64.38,-173.3,33.8,4.47
camana,1,PE,1603765412,78,-16.62,-72.71,62.02,6.82
vermilion,90,US,1603765412,93,40.17,-87.75,39.2,5.82
butaritari,11,KI,1603765304,68,3.07,172.79,81.55,10.89
manokwari,0,ID,1603765412,66,-0.87,134.08,85.12,4.61
coquimbo,0,CL,1603765225,87,-29.95,-71.34,53.6,3.36
vestmanna,21,FO,1603765413,76,62.16,-7.17,35.6,6.93
solnechnyy,18,RU,1603765413,65,50.72,136.63,41.9,3.69
cidreira,100,BR,1603765297,92,-30.18,-50.21,64.63,14.99
brae,1,GB,1603765413,93,60.4,-1.35,48.2,8.05
bud,90,US,1603765414,100,39.45,-86.18,44.01,5.26
saint-philippe,90,RE,1603765298,78,-21.36,55.77,71.6,4.7
fukue,0,JP,1603765302,64,32.69,128.84,68.0,8.05
airai,58,TL,1603765414,56,-8.93,125.41,77.41,3.44
pemba,75,MZ,1603765414,88,-12.97,40.52,77.0,4.7
amurzet,100,RU,1603765415,66,47.7,131.1,44.73,6.13
bam,0,IR,1603765415,46,29.11,58.36,51.26,1.95
okhotsk,0,RU,1603765415,74,59.38,143.3,32.95,14.52
luderitz,0,NA,1603765303,81,-26.65,15.16,57.9,9.24
ephrata,90,US,1603765416,93,40.18,-76.18,55.4,4.7
raub,77,MY,1603765416,56,3.79,101.86,85.57,1.74
torbay,90,CA,1603765416,59,47.67,-52.73,37.99,8.05
rio gallegos,0,AR,1603765416,60,-51.62,-69.22,42.8,4.7
cherskiy,82,RU,1603765294,94,68.75,161.3,7.3,7.56
husavik,90,IS,1603765287,59,66.04,-17.34,35.6,6.93
sao joao da barra,100,BR,1603765417,89,-21.64,-41.05,71.4,5.21
poronaysk,59,RU,1603765417,60,49.22,143.12,46.45,3.47
hambantota,75,LK,1603765417,94,6.12,81.12,80.6,5.82
kahului,40,US,1603765417,52,20.89,-156.47,87.8,6.93
roma,90,US,1603765418,93,43.21,-75.46,46.99,8.05
shubarshi,0,KZ,1603765418,91,48.59,57.19,32.09,16.58
kushmurun,100,KZ,1603765418,98,52.45,64.63,30.61,27.27
faya,0,SA,1603765418,25,18.39,42.45,53.6,3.36
hualmay,79,PE,1603765323,82,-11.1,-77.61,63.93,8.14
avarua,100,CK,1603765419,83,-21.21,-159.78,71.6,13.87
trelew,99,AR,1603765419,31,-43.25,-65.31,63.68,9.33
nefteyugansk,90,RU,1603765419,100,61.1,72.6,23.0,15.66
chaihe,0,CN,1603765419,51,44.77,129.7,50.4,9.53
aitape,2,PG,1603765420,62,-3.14,142.35,85.21,5.59
codrington,93,AU,1603765420,77,-38.27,141.97,58.26,13.69
nara,20,JP,1603765280,59,34.69,135.8,73.0,2.24
klaksvik,55,FO,1603765420,66,62.23,-6.59,35.6,6.93
kenai,90,US,1603765156,65,60.55,-151.26,44.6,12.75
qaqortoq,91,GL,1603765421,43,60.72,-46.03,35.6,1.12
kirakira,100,SB,1603765421,76,-10.45,161.92,84.09,6.6
soe,82,ID,1603765421,46,-9.86,124.28,85.21,5.14
faanui,100,PF,1603765297,76,-16.48,-151.75,80.65,17.65
athabasca,100,CA,1603765422,94,54.72,-113.29,33.48,12.59
nome,1,US,1603765422,64,64.5,-165.41,35.6,9.17
fairbanks,90,US,1603765299,79,64.84,-147.72,28.4,8.05
tayga,40,RU,1603765422,93,56.06,85.62,41.0,8.95
khatanga,90,RU,1603765306,94,71.97,102.5,1.81,9.1
voyvozh,82,RU,1603765147,98,62.89,54.96,17.31,2.86
luocheng,97,CN,1603765423,73,29.38,104.03,62.92,2.62
gazojak,0,TM,1603765423,63,41.19,61.4,49.84,8.79
cortes,0,ES,1603765424,93,41.94,-1.44,46.4,3.36
huarmey,65,PE,1603765314,81,-10.07,-78.15,64.29,8.05
sioux lookout,75,CA,1603765424,62,50.1,-91.92,24.8,9.17
tyret pervaya,49,RU,1603765424,86,53.67,102.31,28.53,5.73
the valley,40,AI,1603765424,83,18.22,-63.06,82.4,14.99
kyren,29,RU,1603765425,86,51.68,102.14,31.42,1.61
ahuimanu,90,US,1603765425,69,21.44,-157.84,82.4,5.82
landau,96,DE,1603765346,94,49.21,8.11,46.99,1.99
yumen,100,CN,1603765282,54,40.28,97.2,41.72,8.97
urumqi,0,CN,1603765206,55,43.8,87.6,39.2,2.24
mayo,90,US,1603765426,100,38.89,-76.51,57.99,1.54
kalmunai,0,LK,1603765426,74,7.42,81.82,80.94,4.32
batagay,100,RU,1603765426,88,67.63,134.63,9.64,2.24
salinopolis,58,BR,1603765427,81,-0.61,-47.36,80.19,10.07
oleksandrivka,97,UA,1603765427,67,48.96,32.23,51.89,10.13
filingue,0,NE,1603765427,16,14.35,3.32,80.49,1.63
kupang,40,ID,1603765315,62,-10.17,123.58,89.6,8.05
tonj,36,SS,1603765427,87,7.27,28.68,72.75,2.77
levelland,90,US,1603765428,85,33.59,-102.38,24.8,21.92
matara,61,LK,1603765428,81,5.95,80.54,80.28,5.95
abha,0,SA,1603765428,25,18.22,42.51,53.6,3.36
nanortalik,97,GL,1603765428,91,60.14,-45.24,33.01,13.2
tual,99,ID,1603765428,71,-5.67,132.75,82.35,2.71
ngunguru,12,NZ,1603765327,74,-35.62,174.5,68.05,13.13
prieska,0,ZA,1603765429,43,-29.66,22.75,72.07,7.38
bokajan,16,IN,1603765429,87,26.02,93.78,75.25,1.28
zhanaozen,80,KZ,1603765429,65,43.3,52.8,42.03,13.18
geraldton,0,AU,1603765310,49,-28.77,114.6,73.4,9.17
vieques,40,PR,1603765430,74,18.43,-65.83,82.4,13.87
farafangana,8,MG,1603765430,88,-22.82,47.83,67.51,4.38
kudahuvadhoo,12,MV,1603765302,73,2.67,72.89,82.65,5.28
khartoum,0,SD,1603765424,24,15.55,32.53,82.4,13.87
buala,94,SB,1603765430,76,-8.14,159.59,83.28,4.9
redlands,20,US,1603765135,4,34.06,-117.18,64.4,9.42
kokopo,20,PG,1603765431,74,-4.35,152.26,83.01,4.34
saldanha,4,ZA,1603765431,87,-33.01,17.94,59.0,5.82
kahramanmaras,0,TR,1603765431,41,38.0,37.0,57.2,5.82
ancud,90,CL,1603765432,87,-41.87,-73.82,46.0,6.93
berlevag,0,NO,1603765342,80,70.86,29.09,37.67,15.43
lagoa,99,PT,1603765262,86,39.05,-27.98,67.46,13.8
warrington,27,GB,1603765432,87,53.39,-2.58,46.99,4.7
guerrero negro,0,MX,1603765315,37,27.98,-114.06,66.69,16.93
ostrovnoy,100,RU,1603765433,94,68.05,39.51,41.43,23.94
harboore,89,DK,1603765433,95,56.62,8.18,46.99,1.99
berdigestyakh,100,RU,1603765433,91,62.1,126.7,10.92,7.96
upernavik,36,GL,1603765433,83,72.79,-56.15,17.29,4.09
bambous virieux,40,MU,1603765433,78,-20.34,57.76,73.99,6.93
koungou,0,YT,1603765434,83,-12.73,45.2,75.2,3.36
bereda,100,ES,1603765434,97,43.27,-7.54,51.01,11.01
washington,0,US,1603765434,66,47.5,-120.5,35.01,1.74
vilhena,100,BR,1603765434,98,-12.74,-60.15,70.52,4.23
shenjiamen,80,CN,1603765435,69,29.96,122.3,67.28,9.57
camacha,40,PT,1603765435,68,33.08,-16.33,66.2,7.38
komsomolskiy,0,UZ,1603765435,48,40.43,71.72,42.8,6.93
ossora,100,RU,1603765435,89,59.24,163.07,39.24,11.97
radisici,40,BA,1603765322,87,43.22,17.54,55.4,3.36
colares,66,PT,1603765436,84,38.8,-9.45,55.99,5.99
japura,100,ID,1603765436,73,-0.32,102.35,82.94,2.59
rtishchevo,0,RU,1603765436,90,52.26,43.79,33.87,6.58
pochutla,100,MX,1603765279,96,15.74,-96.47,75.0,2.62
khunti,0,IN,1603765436,68,23.08,85.28,66.2,3.96
rossland,82,CA,1603765437,87,49.08,-117.8,23.0,0.78
horsham,20,GB,1603765239,93,51.06,-0.33,46.99,5.82
myitkyina,0,MM,1603765438,67,25.38,97.4,78.89,1.86
chumikan,100,RU,1603765431,72,54.72,135.31,38.55,10.2
port augusta,90,AU,1603765438,67,-32.5,137.77,62.6,11.41
iqaluit,90,CA,1603765329,85,63.75,-68.51,17.01,4.7
owatonna,90,US,1603765438,79,44.08,-93.23,24.8,3.36
ponta do sol,20,PT,1603765300,63,32.67,-17.1,66.2,10.29
vestmannaeyjar,100,IS,1603765439,74,63.44,-20.27,42.55,37.65
aloleng,100,PH,1603765439,69,16.13,119.78,85.23,21.25
deer lake,90,CA,1603765439,69,49.17,-57.43,35.6,10.29
sao joao da ponte,99,BR,1603765440,82,-15.93,-44.01,71.47,3.18
westport,90,US,1603765172,93,41.14,-73.36,59.0,6.93
liaozhong,0,CN,1603765440,27,41.51,122.72,51.8,8.95
livramento,0,BR,1603765440,94,-3.03,-60.18,84.2,4.7
muzhi,72,RU,1603765268,94,65.37,64.67,1.54,5.84
tall kayf,0,TR,1603765441,33,37.08,41.07,60.75,2.71
shelburne,90,CA,1603765338,86,44.08,-80.2,42.01,2.24
norman wells,75,CA,1603765441,79,65.28,-126.83,24.8,18.34
thunder bay,90,CA,1603765276,54,48.4,-89.32,28.4,4.7
olinda,75,BR,1603765441,74,-8.01,-34.86,80.6,11.41
mbandaka,45,CD,1603765442,90,0.05,18.26,69.78,2.53
salalah,0,OM,1603765442,64,17.02,54.09,73.4,2.24
yima,100,CN,1603765442,99,34.74,111.88,66.99,11.88
kem,100,RU,1603765442,93,64.96,34.58,42.53,11.61
havoysund,0,NO,1603765443,74,71.0,24.66,35.6,6.93
havelock,1,US,1603765409,93,34.88,-76.9,63.0,4.29
tecoanapa,100,MX,1603765443,87,16.52,-98.75,81.1,7.52
inuvik,75,CA,1603765443,85,68.35,-133.72,10.4,6.93
lompoc,1,US,1603765443,63,34.64,-120.46,60.8,4.7
xinzhou,100,CN,1603765444,38,38.41,112.73,49.95,5.41
barcelona,20,ES,1603765444,58,41.39,2.16,57.0,5.82
desaguadero,70,PE,1603765444,50,-16.57,-69.04,52.03,1.36
nalut,0,LY,1603765444,45,30.33,10.85,59.65,5.08
kouango,99,CF,1603765445,96,4.99,19.96,72.03,3.49
poum,91,NC,1603765445,75,-20.23,164.02,76.39,12.33
egvekinot,100,RU,1603765293,96,66.32,-179.17,22.8,1.63
santa rosa,75,PH,1603765445,74,14.31,121.11,87.01,8.05
senneterre,40,CA,1603765446,100,48.38,-77.23,21.2,4.7
monywa,15,MM,1603765446,78,22.12,95.13,80.89,5.7
rodrigues alves,0,BR,1603765446,83,-7.74,-72.65,80.6,3.36
tuatapere,50,NZ,1603765446,62,-46.13,167.68,57.99,5.99
dzilam gonzalez,100,MX,1603765447,90,21.28,-88.93,77.05,7.05
gap,65,FR,1603765447,88,44.67,6.0,37.99,1.01
lima,20,PE,1603765290,82,-12.04,-77.03,62.6,13.87
alofi,75,NU,1603765308,69,-19.06,-169.92,78.8,17.22
neustadt,90,DE,1603765448,93,49.71,12.09,44.01,4.7
sobolevo,11,RU,1603765448,91,54.43,31.9,43.09,11.03
shirokiy,96,RU,1603765448,63,49.76,129.52,44.13,15.39
souillac,40,MU,1603765448,78,-20.52,57.52,71.6,6.93
techiman,2,GH,1603765448,85,7.59,-1.94,71.78,2.93
soverato,0,IT,1603765449,87,38.69,16.55,50.0,4.7
launceston,48,AU,1603765449,47,-41.45,147.17,62.01,21.92
bekovo,3,RU,1603765449,90,52.47,43.71,34.05,6.29
moranbah,100,AU,1603765449,30,-22.0,148.05,90.59,10.38
la ronge,75,CA,1603765450,62,55.1,-105.28,24.8,4.7
jiazi,45,CN,1603765451,64,22.88,116.07,76.28,19.37
luganville,40,VU,1603765452,66,-15.53,167.17,84.2,10.29
nakusp,88,CA,1603765453,95,50.25,-117.8,28.0,1.25
aksu,79,CN,1603765454,51,41.12,80.26,45.16,2.44
namibe,11,AO,1603765455,83,-15.2,12.15,68.68,3.04
verkhnyaya inta,100,RU,1603765457,91,65.98,60.31,14.83,4.03
chapais,90,CA,1603765458,86,49.78,-74.85,26.6,10.29
otane,100,NZ,1603765267,91,-39.88,176.63,55.0,5.99
pangnirtung,3,CA,1603765459,83,66.15,-65.71,7.38,7.34
lubango,90,AO,1603765459,60,-14.92,13.49,64.18,3.49
buluang,100,PH,1603765460,78,13.31,123.34,82.42,2.82
naze,20,JP,1603765304,57,28.37,129.48,78.8,8.05
kuusamo,90,FI,1603765460,100,65.97,29.18,39.2,5.82
grindavik,90,IS,1603765304,73,63.84,-22.43,37.4,21.92
baykit,68,RU,1603765460,93,61.67,96.37,14.16,4.36
kutum,0,SD,1603765461,25,14.2,24.67,68.11,7.87
najran,0,SA,1603765461,30,17.49,44.13,57.2,1.21
milkovo,100,RU,1603765461,95,54.72,158.62,38.32,5.39
varzea da palma,67,BR,1603765461,78,-17.6,-44.73,73.96,0.31
chico,40,US,1603765202,7,39.73,-121.84,69.8,5.82
onguday,100,RU,1603765462,76,50.75,86.15,35.29,4.65
tonstad,83,NO,1603765462,83,58.66,6.72,46.99,5.77
muros,100,ES,1603765307,91,42.78,-9.06,55.0,14.0
chupaca,99,PE,1603765463,63,-12.07,-75.28,55.26,4.88
shache,17,CN,1603765463,54,38.42,77.24,43.0,3.2
cayenne,20,GF,1603765308,100,4.93,-52.33,78.8,4.7
baherden,100,TM,1603765463,34,38.44,57.43,57.38,1.9
umm lajj,0,SA,1603765463,48,25.02,37.27,78.71,8.59
deputatskiy,100,RU,1603765464,90,69.3,139.9,4.5,1.19
cape canaveral,20,US,1603765321,83,28.41,-80.6,81.0,6.93
macherla,0,IN,1603765464,80,16.48,79.43,74.71,5.17
mercedes,0,AR,1603765195,59,-34.65,-59.43,59.0,6.91
itaueira,5,BR,1603765464,66,-7.6,-43.03,80.11,2.93
sehithwa,0,BW,1603765465,20,-20.47,22.72,75.42,10.51
sandwick,0,GB,1603765465,93,60.0,-1.25,48.2,8.05
abu samrah,0,SY,1603765465,28,35.3,37.18,63.86,5.97
palmas bellas,27,PA,1603765465,78,9.23,-80.09,82.4,3.36
manuk mangkaw,100,PH,1603765466,78,4.8,119.85,83.46,16.89
pasighat,95,IN,1603765466,73,28.07,95.33,74.08,1.01
yar-sale,36,RU,1603765466,95,66.83,70.83,6.46,5.3
ostersund,100,SE,1603765466,100,63.18,14.64,41.0,9.17
watrous,32,CA,1603765467,87,51.67,-105.47,22.35,7.43
bilma,0,NE,1603765331,25,18.69,12.92,68.49,3.67
roebourne,2,AU,1603765309,32,-20.78,117.13,86.56,7.81
almaznyy,0,RU,1603765467,57,48.04,40.05,48.2,20.13
oktyabrskiy,64,RU,1603765467,92,54.48,53.47,27.88,12.41
xining,100,CN,1603765467,86,36.62,101.77,34.9,3.11
abrau-dyurso,0,RU,1603765468,81,44.69,37.59,51.8,4.47
grand gaube,0,MU,1603765305,74,-20.01,57.66,73.99,5.01
ndende,100,GA,1603765468,96,-2.4,11.36,72.61,1.45
biaora,0,IN,1603765468,44,23.87,76.92,69.67,4.09
aktau,0,KZ,1603765469,93,43.65,51.2,37.4,11.18
korla,85,CN,1603765469,52,41.76,86.15,44.85,4.97
vodnyy,90,RU,1603765469,97,63.5,53.41,21.16,4.9
hamilton,90,US,1603765261,81,39.18,-84.53,48.2,3.36
soyo,100,AO,1603765470,86,-6.13,12.37,76.03,2.55
colwyn bay,53,GB,1603765470,91,53.29,-3.73,46.0,5.01
trairi,0,BR,1603765324,81,-3.28,-39.27,78.12,9.35
ushtobe,0,KZ,1603765470,41,45.25,77.98,51.64,8.63
yatou,0,CN,1603765470,49,37.15,122.38,65.98,6.71
troitsko-pechorsk,100,RU,1603765471,97,62.71,56.2,17.74,2.28
sundargarh,0,IN,1603765471,78,22.12,84.03,71.6,3.06
clovis,40,US,1603765471,36,36.83,-119.7,60.8,4.7
rawson,100,AR,1603765471,36,-43.3,-65.1,62.82,8.39
sechura,50,PE,1603765303,79,-5.56,-80.82,66.81,12.28
uppsala,100,SE,1603765471,93,60.0,17.75,51.8,9.17
erenhot,0,CN,1603765472,60,43.65,111.98,36.59,11.5
bubaque,2,GW,1603765472,80,11.28,-15.83,82.67,11.61
praia da vitoria,75,PT,1603765472,94,38.73,-27.07,69.8,10.07
mamlyutka,90,KZ,1603765472,91,54.94,68.54,33.8,11.18
malangali,17,TZ,1603765473,87,-8.57,34.85,60.42,6.89
gravelbourg,24,CA,1603765473,95,49.88,-106.55,20.66,9.4
nicoya,75,CR,1603765473,100,10.15,-85.45,75.2,2.24
bambari,55,CF,1603765473,92,5.77,20.68,71.38,2.57
